
capacity	voltage
2.1129	4.4352
4.2257	4.4315
6.3386	4.4286
8.4511	4.4262
10.5647	4.4239
12.6776	4.4219
14.7900	4.4202
16.9028	4.4187
19.0165	4.4169
21.1285	4.4155
23.2423	4.4140
25.3553	4.4126
27.4682	4.4112
29.5811	4.4100
31.6941	4.4086
33.8056	4.4076
35.9200	4.4063
38.0314	4.4051
40.1458	4.4041
42.2588	4.4030
44.3717	4.4019
46.4847	4.4009
48.5976	4.3996
50.7105	4.3987
52.8235	4.3976
54.9342	4.3967
57.0470	4.3958
59.1599	4.3949
61.2752	4.3938
63.3856	4.3929
65.4984	4.3922
67.6086	4.3912
69.7214	4.3905
71.8370	4.3897
73.9469	4.3890
76.0658	4.3877
78.1725	4.3871
80.2884	4.3864
82.4046	4.3854
84.5141	4.3848
86.6305	4.3839
88.7434	4.3832
90.8527	4.3824
92.9655	4.3816
95.0746	4.3810
97.1874	4.3803
99.3041	4.3796
101.4169	4.3789
103.5257	4.3783
105.6426	4.3777
107.7512	4.3767
109.8683	4.3760
111.9858	4.3752
114.0941	4.3748
116.2069	4.3740
118.3151	4.3734
120.4375	4.3728
122.5455	4.3722
124.6634	4.3716
126.7712	4.3708
128.8893	4.3700
130.9917	4.3696
133.1097	4.3688
135.2172	4.3684
137.3410	4.3676
139.4540	4.3670
141.5611	4.3665
143.6683	4.3659
145.7811	4.3651
147.8939	4.3647
150.0066	4.3641
152.1254	4.3635
154.2383	4.3629
156.3575	4.3622
158.4577	4.3616
160.5834	4.3612
162.6897	4.3606
164.8025	4.3598
166.9154	4.3592
169.0282	4.3587
171.1411	4.3580
173.2610	4.3575
175.3599	4.3571
177.4726	4.3566
179.5854	4.3560
181.7053	4.3554
183.8109	4.3549
185.9310	4.3542
188.0365	4.3537
190.1568	4.3531
192.2620	4.3525
194.3825	4.3519
196.4876	4.3514
198.6082	4.3508
200.7210	4.3503
202.8259	4.3497
204.9386	4.3493
207.0514	4.3485
209.1557	4.3479
211.2853	4.3473
213.3897	4.3468
215.5025	4.3464
217.6153	4.3458
219.7191	4.3453
221.8408	4.3447
223.9536	4.3442
226.0752	4.3436
228.1791	4.3432
230.3010	4.3424
232.4138	4.3418
234.5267	4.3413
236.6302	4.3409
238.7429	4.3403
240.8557	4.3398
242.9781	4.3392
245.0813	4.3387
247.1840	4.3383
249.3166	4.3377
251.4196	4.3371
253.5323	4.3365
255.6451	4.3358
257.7680	4.3354
259.8809	4.3348
261.9834	4.3343
264.0962	4.3339
266.2090	4.3334
268.3323	4.3326
270.4452	4.3322
272.5580	4.3317
274.6600	4.3310
276.7728	4.3305
278.8742	4.3301
281.0094	4.3293
283.1111	4.3288
285.2239	4.3284
287.3366	4.3278
289.4608	4.3272
291.5622	4.3267
293.6750	4.3262
295.7994	4.3255
297.9005	4.3250
300.0133	4.3244
302.1260	4.3239
304.2508	4.3233
306.3516	4.3229
308.4765	4.3223
310.5771	4.3218
312.6899	4.3212
314.8026	4.3207
316.9279	4.3200
319.0408	4.3194
321.1536	4.3189
323.2537	4.3183
325.3793	4.3177
327.4922	4.3172
329.6050	4.3168
331.7048	4.3162
333.8176	4.3156
335.9303	4.3151
338.0431	4.3146
340.1559	4.3139
342.2822	4.3133
344.3814	4.3127
346.5079	4.3120
348.6349	4.3114
350.7336	4.3110
352.8464	4.3104
354.9593	4.3098
357.0721	4.3093
359.1708	4.3085
361.2978	4.3079
363.4107	4.3073
365.5091	4.3069
367.6219	4.3062
369.7492	4.3055
371.8474	4.3050
373.9749	4.3046
376.0576	4.3040
378.1857	4.3035
380.2985	4.3027
382.4264	4.3021
384.5392	4.3014
386.6521	4.3009
388.7496	4.3004
390.8464	4.2998
392.9751	4.2992
395.0879	4.2986
397.2007	4.2982
399.2972	4.2975
401.4098	4.2968
403.5390	4.2962
405.6352	4.2957
407.7479	4.2951
409.8934	4.2945
411.9733	4.2939
414.1191	4.2933
416.2156	4.2927
418.3284	4.2922
420.4411	4.2914
422.5539	4.2908
