
capacity	voltage
2.1132	4.4010
4.2262	4.3976
6.3393	4.3955
8.4531	4.3934
10.5660	4.3920
12.6787	4.3908
14.7924	4.3897
16.9056	4.3883
19.0196	4.3871
21.1328	4.3862
23.2442	4.3854
25.3594	4.3844
27.4716	4.3836
29.5848	4.3827
31.6980	4.3818
33.8112	4.3810
35.9258	4.3803
38.0376	4.3796
40.1507	4.3787
42.2657	4.3780
44.3771	4.3775
46.4903	4.3766
48.6016	4.3760
50.7147	4.3754
52.8278	4.3746
54.9409	4.3740
57.0563	4.3732
59.1671	4.3728
61.2827	4.3720
63.3933	4.3716
65.5064	4.3708
67.6251	4.3700
69.7355	4.3696
71.8458	4.3690
73.9589	4.3684
76.0720	4.3679
78.1883	4.3673
80.3015	4.3667
82.4147	4.3661
84.5244	4.3655
86.6376	4.3650
88.7543	4.3644
90.8638	4.3638
92.9769	4.3633
95.0900	4.3629
97.2031	4.3622
99.3162	4.3616
101.4335	4.3612
103.5424	4.3607
105.6642	4.3601
107.7643	4.3595
109.8863	4.3589
111.9949	4.3584
114.1080	4.3580
116.2258	4.3574
118.3390	4.3569
120.4522	4.3563
122.5654	4.3558
124.6736	4.3554
126.7918	4.3549
128.9050	4.3542
131.0129	4.3537
133.1314	4.3532
135.2446	4.3528
137.3578	4.3523
139.4710	4.3517
141.5784	4.3513
143.6974	4.3508
145.8047	4.3502
147.9178	4.3499
150.0309	4.3493
152.1440	4.3488
154.2571	4.3482
156.3702	4.3478
158.4898	4.3471
160.5964	4.3467
162.7162	4.3462
164.8294	4.3458
166.9426	4.3452
169.0558	4.3449
171.1620	4.3444
173.2822	4.3438
175.3954	4.3433
177.5013	4.3427
179.6144	4.3423
181.7350	4.3418
183.8407	4.3413
185.9538	4.3409
188.0746	4.3403
190.1878	4.3398
192.3009	4.3392
194.4141	4.3389
196.5193	4.3384
198.6324	4.3378
200.7537	4.3374
202.8587	4.3368
204.9718	4.3363
207.0849	4.3358
209.1980	4.3354
211.3111	4.3349
213.4242	4.3345
215.5549	4.3339
217.6504	4.3334
219.7546	4.3330
221.8767	4.3325
223.9898	4.3320
226.1029	4.3314
228.2160	4.3308
230.3291	4.3304
232.4328	4.3301
234.5649	4.3294
236.6684	4.3290
238.7718	4.3285
240.8947	4.3279
243.0177	4.3275
245.1209	4.3270
247.2441	4.3265
249.3370	4.3262
251.4602	4.3255
253.5630	4.3250
255.6760	4.3246
257.7891	4.3241
259.9021	4.3236
262.0151	4.3230
264.1281	4.3226
266.2520	4.3221
268.3651	4.3215
270.4782	4.3210
272.5913	4.3206
274.6933	4.3200
276.8063	4.3195
278.9193	4.3191
281.0438	4.3186
283.1684	4.3180
285.2700	4.3175
287.3831	4.3171
289.4844	4.3166
291.6093	4.3162
293.7105	4.3157
295.8235	4.3153
297.9487	4.3146
300.0618	4.3139
302.1626	4.3134
304.3004	4.3130
306.3886	4.3125
308.5017	4.3120
310.6273	4.3114
312.7404	4.3110
314.8536	4.3105
316.9667	4.3101
319.0668	4.3096
321.1667	4.3091
323.3060	4.3084
325.4059	4.3079
327.5322	4.3075
329.6319	4.3070
331.7584	4.3064
333.8852	4.3058
335.9847	4.3053
338.0978	4.3049
340.2109	4.3044
342.3240	4.3038
344.4371	4.3033
346.5643	4.3027
348.6633	4.3023
350.7622	4.3017
352.8896	4.3012
355.0027	4.3006
357.1158	4.3001
359.2289	4.2997
361.3273	4.2992
363.4699	4.2986
365.5533	4.2982
367.6813	4.2977
369.8095	4.2971
371.8924	4.2966
374.0359	4.2959
376.1491	4.2954
378.2315	4.2951
380.3755	4.2945
382.4731	4.2939
384.5862	4.2934
386.7151	4.2928
388.8283	4.2924
390.9256	4.2918
393.0547	4.2911
395.1679	4.2905
397.2811	4.2901
399.3780	4.2896
401.5075	4.2889
403.6042	4.2885
405.7339	4.2879
407.8471	4.2875
409.9436	4.2870
412.0735	4.2863
414.1867	4.2856
416.3168	4.2850
418.4131	4.2846
420.5262	4.2840
422.6222	4.2835
424.7353	4.2829
426.8658	4.2824
428.9616	4.2820
431.0747	4.2814
433.2054	4.2808
435.3186	4.2800
437.4318	4.2794
439.5271	4.2791
441.6402	4.2785
443.7714	4.2780
445.9028	4.2774
448.0161	4.2768
450.0927	4.2763
452.2242	4.2757
454.3559	4.2750
456.4506	4.2744
458.5451	4.2739
460.6770	4.2733
462.8091	4.2727
464.9034	4.2722
467.0356	4.2716
469.1298	4.2710
471.2238	4.2705
473.3369	4.2701
475.4500	4.2695
477.6020	4.2687
479.7153	4.2679
481.8286	4.2675
483.9222	4.2669
486.0354	4.2664
488.1486	4.2658
490.2618	4.2652
492.3750	4.2646
494.4479	4.2641
496.5811	4.2637
498.6942	4.2629
500.8277	4.2623
502.9204	4.2617
505.0336	4.2611
507.1673	4.2605
509.2598	4.2600
511.3937	4.2594
513.4860	4.2588
515.5991	4.2582
517.7122	4.2577
519.8253	4.2568
521.9172	4.2564
524.0516	4.2557
526.1647	4.2551
528.2993	4.2545
530.4341	4.2539
532.5040	4.2535
534.6389	4.2528
536.7521	4.2522
538.8653	4.2515
540.9785	4.2509
543.0917	4.2502
545.1827	4.2498
547.2735	4.2492
549.4089	4.2486
551.5220	4.2480
553.6577	4.2473
555.7709	4.2467
557.8841	4.2461
559.9973	4.2454
562.1105	4.2448
564.2007	4.2441
566.3369	4.2435
568.4501	4.2429
570.5633	4.2423
572.6531	4.2419
574.7896	4.2412
576.9028	4.2405
578.9924	4.2399
581.1056	4.2393
583.1949	4.2387
585.3556	4.2379
587.4449	4.2373
589.5580	4.2367
591.6470	4.2362
593.7600	4.2354
595.8973	4.2348
597.9861	4.2342
600.0991	4.2336
602.2121	4.2330
604.3252	4.2322
606.4382	4.2318
608.5512	4.2310
610.6642	4.2306
612.8022	4.2298
614.8903	4.2293
617.0284	4.2284
619.1163	4.2280
621.2294	4.2274
623.3678	4.2266
625.4809	4.2260
627.5940	4.2254
629.7071	4.2248
631.8202	4.2242
633.9075	4.2235
636.0724	4.2226
638.1596	4.2220
640.2727	4.2214
642.3858	4.2208
644.4989	4.2202
646.6120	4.2196
648.7251	4.2190
650.8382	4.2182
652.9513	4.2176
655.0378	4.2170
657.1776	4.2162
659.2907	4.2156
661.4038	4.2150
663.4899	4.2144
665.6300	4.2136
667.7159	4.2130
669.8289	4.2126
671.9967	4.2115
674.1099	4.2109
676.1956	4.2103
678.3087	4.2098
680.4218	4.2090
682.5071	4.2084
684.6201	4.2080
686.7331	4.2072
688.8462	4.2066
690.9873	4.2057
693.1287	4.2051
695.2419	4.2043
697.2983	4.2039
699.4113	4.2032
701.5529	4.2025
703.6373	4.2019
705.7504	4.2013
707.8922	4.2007
710.0343	4.1997
712.1184	4.1991
714.2316	4.1985
716.3155	4.1979
718.4871	4.1971
720.5709	4.1965
722.7135	4.1959
724.7971	4.1953
726.8806	4.1944
729.0233	4.1938
731.1364	4.1930
733.2496	4.1924
735.3627	4.1918
