
capacity	voltage
2.1132	4.4120
4.2264	4.4083
6.3396	4.4057
8.4531	4.4033
10.5656	4.4018
12.6787	4.4002
14.7918	4.3986
16.9056	4.3972
19.0188	4.3960
21.1328	4.3949
23.2452	4.3935
25.3584	4.3926
27.4716	4.3915
29.5836	4.3905
31.6980	4.3896
33.8112	4.3883
35.9244	4.3874
38.0376	4.3867
40.1507	4.3857
42.2622	4.3848
44.3771	4.3839
46.4903	4.3832
48.6035	4.3822
50.7167	4.3816
52.8299	4.3807
54.9431	4.3799
57.0563	4.3792
59.1671	4.3786
61.2852	4.3777
63.3959	4.3767
65.5118	4.3761
67.6223	4.3752
69.7355	4.3746
71.8516	4.3740
73.9589	4.3735
76.0782	4.3726
78.1851	4.3722
80.3048	4.3713
82.4113	4.3708
84.5279	4.3700
86.6411	4.3693
88.7543	4.3687
90.8675	4.3680
92.9845	4.3674
95.0939	4.3670
97.2110	4.3662
99.3203	4.3656
101.4293	4.3650
103.5467	4.3644
105.6556	4.3638
107.7731	4.3632
109.8907	4.3626
111.9995	4.3619
114.1127	4.3615
116.2211	4.3609
118.3342	4.3604
120.4522	4.3597
122.5654	4.3590
124.6837	4.3584
126.7918	4.3578
128.9103	4.3572
131.0129	4.3568
133.1369	4.3561
135.2446	4.3557
137.3522	4.3552
139.4767	4.3545
141.5900	4.3539
143.6974	4.3534
145.8166	4.3528
147.9178	4.3523
150.0370	4.3517
152.1502	4.3513
154.2634	4.3508
156.3766	4.3502
158.4898	4.3497
160.5964	4.3491
162.7228	4.3484
164.8294	4.3479
166.9426	4.3473
169.0489	4.3468
171.1690	4.3464
173.2751	4.3459
175.3954	4.3453
177.5158	4.3447
179.6144	4.3444
181.7350	4.3436
183.8407	4.3432
185.9689	4.3424
188.0669	4.3421
190.1800	4.3415
192.3009	4.3409
194.4062	4.3406
196.5273	4.3398
198.6405	4.3395
200.7537	4.3391
202.8669	4.3384
204.9801	4.3380
207.0849	4.3374
209.2065	4.3369
211.3197	4.3363
213.4329	4.3358
215.5461	4.3352
217.6504	4.3348
219.7725	4.3342
221.8857	4.3336
224.0080	4.3331
226.1213	4.3326
228.2253	4.3322
230.3479	4.3317
232.4612	4.3310
234.5649	4.3305
236.6781	4.3301
238.8010	4.3294
240.9045	4.3290
243.0078	4.3285
245.1209	4.3279
247.2542	4.3273
249.3573	4.3268
251.4705	4.3264
253.5733	4.3259
255.6969	4.3252
257.7996	4.3247
259.9233	4.3241
262.0365	4.3236
264.1604	4.3232
266.2629	4.3227
268.3760	4.3221
270.4782	4.3217
272.6136	4.3210
274.7268	4.3206
276.8288	4.3200
278.9420	4.3195
281.0438	4.3189
283.1684	4.3185
285.2816	4.3178
287.3948	4.3174
289.4962	4.3169
291.6093	4.3165
293.7344	4.3159
295.8476	4.3153
297.9487	4.3149
300.0740	4.3142
302.1872	4.3136
304.2880	4.3131
306.4136	4.3125
308.5268	4.3120
310.6400	4.3114
312.7404	4.3110
314.8536	4.3105
316.9796	4.3099
319.0798	4.3095
321.2060	4.3090
323.3192	4.3082
325.4191	4.3078
327.5456	4.3072
329.6453	4.3067
331.7584	4.3061
333.8716	4.3056
335.9847	4.3052
338.0840	4.3046
340.2109	4.3041
342.3240	4.3035
344.4371	4.3029
346.5643	4.3023
348.6633	4.3017
350.7907	4.3012
352.8896	4.3008
355.0171	4.3001
357.1158	4.2997
359.2289	4.2991
361.3567	4.2985
363.4699	4.2980
365.5831	4.2975
367.6813	4.2969
369.8095	4.2962
371.9227	4.2957
374.0207	4.2953
376.1185	4.2947
378.2623	4.2940
380.3755	4.2936
382.4887	4.2930
384.6019	4.2924
386.6993	4.2919
388.8283	4.2913
390.9256	4.2907
393.0547	4.2901
395.1518	4.2896
397.2811	4.2890
399.3943	4.2884
401.5075	4.2879
403.6042	4.2873
405.7339	4.2869
407.8471	4.2863
409.9436	4.2856
412.0567	4.2850
414.1698	4.2846
416.2999	4.2838
418.4131	4.2834
420.5091	4.2829
422.6222	4.2823
424.7526	4.2817
426.8658	4.2812
428.9790	4.2808
431.0747	4.2800
433.2054	4.2794
435.3186	4.2788
437.4318	4.2783
439.5450	4.2777
441.6222	4.2773
443.7714	4.2766
445.8664	4.2760
447.9978	4.2753
450.0927	4.2748
452.2426	4.2741
454.3189	4.2736
456.4320	4.2731
458.5638	4.2725
460.6582	4.2719
462.7902	4.2713
464.8844	4.2708
466.9976	4.2702
469.1298	4.2696
471.2238	4.2692
473.3369	4.2684
475.4500	4.2678
477.5826	4.2672
479.6958	4.2666
481.8090	4.2660
483.9419	4.2654
486.0354	4.2647
488.1486	4.2643
490.2418	4.2637
492.3750	4.2629
494.4882	4.2623
496.6013	4.2618
498.6942	4.2612
500.8073	4.2606
502.9000	4.2600
505.0336	4.2594
507.1673	4.2588
509.2598	4.2583
511.3729	4.2576
513.5069	4.2570
515.5991	4.2564
517.6911	4.2557
519.8042	4.2553
521.9384	4.2547
524.0516	4.2539
526.1432	4.2535
528.2993	4.2528
530.3909	4.2522
532.5040	4.2515
534.5953	4.2509
536.7302	4.2501
538.8433	4.2495
540.9344	4.2490
543.0917	4.2483
545.1827	4.2477
547.2958	4.2472
549.4313	4.2464
551.5220	4.2457
553.6126	4.2452
555.7482	4.2446
557.8613	4.2440
559.9744	4.2434
562.0647	4.2428
564.2007	4.2422
566.3138	4.2415
568.4037	4.2411
570.5400	4.2402
572.6531	4.2396
574.7428	4.2390
576.9028	4.2383
578.9924	4.2377
581.1056	4.2371
583.2187	4.2364
585.3318	4.2359
587.4449	4.2353
589.5340	4.2347
591.6470	4.2339
593.7600	4.2333
595.8731	4.2329
598.0104	4.2321
600.1236	4.2315
602.2367	4.2307
604.3252	4.2303
606.4629	4.2296
608.5760	4.2287
610.6891	4.2283
612.7773	4.2277
614.9153	4.2269
617.0284	4.2263
619.1416	4.2258
621.2294	4.2252
623.3678	4.2245
625.5064	4.2238
627.5684	4.2234
629.6815	4.2225
631.8202	4.2220
633.9333	4.2213
636.0724	4.2206
638.1596	4.2200
640.2727	4.2193
642.3596	4.2188
644.4989	4.2181
646.6120	4.2173
648.7251	4.2167
650.8382	4.2161
652.9513	4.2155
655.0644	4.2147
657.1776	4.2142
659.2638	4.2136
661.4038	4.2129
663.5169	4.2121
665.6571	4.2115
667.7703	4.2107
669.8562	4.2103
671.9967	4.2095
674.1099	4.2089
676.1956	4.2083
678.3087	4.2077
680.4495	4.2069
682.5627	4.2063
684.6759	4.2055
686.7891	4.2049
688.8742	4.2043
691.0155	4.2037
693.1004	4.2031
695.2419	4.2025
697.3267	4.2019
699.4683	4.2013
701.5815	4.2007
703.6660	4.1999
705.7791	4.1991
707.9211	4.1985
710.0632	4.1979
712.1184	4.1973
714.2316	4.1967
716.3447	4.1961
718.4871	4.1953
720.6003	4.1944
722.6840	4.1938
724.8266	4.1932
726.9398	4.1924
729.0828	4.1918
731.1364	4.1913
733.2794	4.1906
735.3926	4.1900
737.5058	4.1894
739.5889	4.1886
741.7322	4.1878
743.8454	4.1872
745.9282	4.1866
748.0718	4.1859
750.1850	4.1852
752.2676	4.1846
754.4114	4.1839
756.4938	4.1831
758.6069	4.1826
760.7510	4.1819
762.8020	4.1813
764.9462	4.1807
767.0593	4.1801
769.1724	4.1793
771.2541	4.1787
773.4302	4.1781
775.5434	4.1773
777.6566	4.1767
779.7698	4.1761
781.8830	4.1752
783.9962	4.1747
786.1094	4.1741
788.1904	4.1735
790.3358	4.1727
792.4167	4.1721
794.5622	4.1714
796.6429	4.1707
798.7886	4.1700
800.9017	4.1692
802.9822	4.1688
805.1281	4.1680
807.2084	4.1675
809.3875	4.1666
811.4347	4.1660
813.5809	4.1653
815.6609	4.1646
817.7740	4.1640
819.8871	4.1634
822.0002	4.1628
824.1133	4.1622
826.2601	4.1613
828.3396	4.1608
830.4527	4.1599
832.5658	4.1593
834.7129	4.1585
836.8261	4.1579
838.9051	4.1575
841.0182	4.1567
843.1313	4.1559
845.2444	4.1555
847.3576	4.1549
849.5053	4.1540
851.6185	4.1532
853.6969	4.1526
855.7751	4.1520
857.8882	4.1514
860.0713	4.1506
862.1845	4.1500
864.2624	4.1494
866.3756	4.1486
868.4887	4.1479
870.6018	4.1472
872.7505	4.1465
874.8280	4.1460
876.9768	4.1453
879.0542	4.1448
881.1673	4.1440
883.2804	4.1434
885.4296	4.1425
887.5067	4.1419
889.6198	4.1415
891.7692	4.1407
893.8824	4.1399
895.9956	4.1393
898.1088	4.1387
900.2220	4.1379
902.3352	4.1373
904.4484	4.1366
906.5616	4.1358
908.6748	4.1352
910.8251	4.1346
912.9012	4.1340
914.9771	4.1334
917.1276	4.1326
919.2033	4.1318
921.3164	4.1312
923.4672	4.1305
925.5804	4.1299
927.6558	4.1292
929.7689	4.1285
931.8820	4.1279
933.9951	4.1273
936.1464	4.1265
938.2596	4.1257
940.3728	4.1251
942.4476	4.1245
944.5607	4.1237
946.6738	4.1233
948.8256	4.1225
950.9388	4.1219
953.0131	4.1213
955.1262	4.1207
957.2393	4.1198
959.3524	4.1192
961.5047	4.1184
963.5787	4.1180
965.6918	4.1173
967.8443	4.1166
969.8785	4.1160
972.0311	4.1154
974.1442	4.1146
976.2573	4.1138
978.3704	4.1132
980.5235	4.1125
982.5967	4.1118
984.7098	4.1112
986.8229	4.1106
988.9360	4.1099
991.0491	4.1093
993.1622	4.1085
995.2753	4.1079
997.3884	4.1073
999.5016	4.1067
1001.6555	4.1059
1003.7278	4.1053
1005.8409	4.1047
1007.9540	4.1041
1010.0671	4.1032
1012.1802	4.1025
1014.2933	4.1019
1016.4064	4.1013
1018.5196	4.1006
1020.6743	4.0999
1022.7041	4.0993
1024.9007	4.0986
1027.0139	4.0980
1029.1270	4.0972
1031.1562	4.0966
1033.3534	4.0958
1035.4666	4.0952
1037.5798	4.0945
1039.6930	4.0938
1041.7638	4.0932
1043.8769	4.0926
1045.9474	4.0919
1048.1458	4.0911
1050.2162	4.0906
1052.3722	4.0899
1054.4424	4.0893
1056.5556	4.0885
1058.6687	4.0880
1060.7818	4.0873
1062.8949	4.0867
1065.0514	4.0859
1067.2081	4.0853
1069.2778	4.0845
1071.3473	4.0839
1073.4604	4.0833
1075.5736	4.0827
1077.6867	4.0819
1079.8438	4.0813
1081.9570	4.0807
1084.0260	4.0801
1086.1391	4.0795
1088.2522	4.0787
1090.3653	4.0781
1092.4784	4.0775
1094.6362	4.0766
1096.7047	4.0761
1098.8178	4.0755
1100.9309	4.0746
1103.0890	4.0740
1105.2021	4.0734
1107.3153	4.0728
1109.3833	4.0720
1111.5417	4.0713
1113.6096	4.0710
1115.7681	4.0702
1117.8813	4.0694
1119.9945	4.0687
1122.0620	4.0681
1124.1751	4.0674
1126.2882	4.0668
1128.3554	4.0662
1130.5144	4.0655
1132.6737	4.0649
1134.7407	4.0642
1136.8538	4.0636
1138.9669	4.0629
1141.0335	4.0621
1143.2397	4.0613
1145.3062	4.0609
1147.4193	4.0601
1149.5324	4.0595
1151.6925	4.0589
1153.7587	4.0581
1155.9189	4.0574
1158.0321	4.0568
1160.1453	4.0560
1162.2111	4.0555
1164.3717	4.0549
1166.4373	4.0542
1168.5981	4.0536
1170.7113	4.0529
1172.7767	4.0523
1174.8898	4.0516
1177.0029	4.0510
1179.1641	4.0504
1181.2772	4.0496
1183.3904	4.0490
1185.5036	4.0484
1187.6168	4.0476
1189.6816	4.0470
1191.7947	4.0465
1193.9078	4.0456
1196.0209	4.0450
1198.1828	4.0443
1200.2471	4.0438
1202.3112	4.0432
1204.4733	4.0426
1206.5864	4.0418
1208.6996	4.0414
1210.8620	4.0404
1212.9258	4.0398
1214.9894	4.0392
1217.1520	4.0386
1219.3148	4.0380
1221.3782	4.0374
1223.4913	4.0368
1225.6544	4.0360
1227.7176	4.0354
1229.8307	4.0346
1231.9940	4.0339
1234.0066	4.0334
1236.1196	4.0327
1238.2327	4.0320
1240.3962	4.0314
1242.5093	4.0308
1244.6732	4.0301
1246.6848	4.0296
1248.8487	4.0288
1250.9618	4.0282
1253.0749	4.0276
1255.2392	4.0269
1257.3011	4.0262
1259.3629	4.0258
1261.5273	4.0250
1263.6404	4.0244
1265.7536	4.0238
1267.9183	4.0230
1270.0315	4.0224
1272.1447	4.0217
1274.2579	4.0212
1276.3191	4.0204
1278.4843	4.0200
1280.5453	4.0194
1282.6062	4.0186
1284.7716	4.0180
1286.8847	4.0172
1289.0503	4.0165
1291.1109	4.0159
1293.2240	4.0153
1295.3371	4.0146
1297.3974	4.0140
1299.5104	4.0134
1301.6764	4.0128
1303.8427	4.0119
1305.8495	4.0113
1307.9625	4.0107
1310.1289	4.0099
1312.2420	4.0093
1314.3016	4.0088
1316.4146	4.0081
1318.5276	4.0075
1320.6406	4.0069
1322.8076	4.0061
1324.9747	4.0055
1327.0879	4.0049
