
ATL REF	ATL REF	ATL REF	ATL REF	ATL REF	ATL REF	ATL REF	ATL REF	ATL REF	ATL 35'	ATL 35'	ATL 35'	ATL 35'	ATL 35'	ATL 35'	ATL 35'	ATL 35'	ATL 35'	ATL 45'	ATL 45'	ATL 45'	ATL 45'	ATL 45'	ATL 45'	ATL 45'	ATL 45'	ATL 45'
1.015856509	296	1	1.016091311	296	1	1.022322063	296	1	1.026896612	308	1	1.021067264	308	1	1.027729672	308	1	1.02987568	318	1	1.031579183	318	1	1.02885848	318	1
48.90104017	296	0.99606141	49.27354662	296	0.993824036	49.48388063	296	0.996037491	50.28604599	308	0.990388636	50.27780308	308	0.989090917	50.42886669	308	0.990052401	51.16368996	318	0.990215513	51.29730977	318	0.990390321	51.07553888	318	0.991221575
96.43361963	296	0.988954472	97.25185278	296	0.984975654	97.59821372	296	0.988361368	99.09470903	308	0.981646712	98.97511079	308	0.977490125	99.31512047	308	0.98322613	100.5730187	318	0.980195382	100.8325019	318	0.980486337	100.4716932	318	0.98281709
143.588789	296	0.983747212	144.8048588	296	0.979158805	145.4199701	296	0.982952211	147.5053037	308	0.977550442	147.1424345	308	0.973356276	147.8096063	308	0.977168466	149.315975	318	0.971890021	149.6051189	318	0.971168263	149.1622507	318	0.97462128
190.437797	296	0.977937284	191.9683341	296	0.969867868	192.8801137	296	0.974511761	195.5678267	308	0.969610547	194.8096979	308	0.96157708	195.8901864	308	0.969420524	197.4210024	318	0.959167083	197.7165689	318	0.957294554	197.2358823	318	0.962027484
237.1331795	296	0.973551794	238.803372	296	0.965386922	239.9326264	296	0.969080058	243.1536933	308	0.963789575	241.9610727	308	0.957795646	243.4821742	308	0.963491779	244.9512217	318	0.952842933	245.249342	318	0.951310391	244.7646506	318	0.957361539
283.5868897	296	0.966408515	285.2558272	296	0.954934601	286.5994889	296	0.959651345	290.2805338	308	0.955432425	288.630916	308	0.946568025	290.5961323	308	0.9545146	291.9025259	318	0.941801064	292.1937916	318	0.939845917	291.720623	318	0.947254212
329.8945705	296	0.959222636	331.3833464	296	0.951695463	332.9540516	296	0.95597919	336.8978836	308	0.949482138	334.8551236	308	0.942786965	337.1692297	308	0.949056327	338.3259817	318	0.93507847	338.5843451	318	0.932652085	338.1737799	318	0.941023853
375.8155558	296	0.954837778	377.1070068	296	0.946102471	378.8922051	296	0.951106836	382.9203644	308	0.939181675	380.5790414	308	0.930445391	383.1617474	308	0.937742772	384.1906807	318	0.9247481	384.4118654	318	0.921981501	384.0852975	318	0.931062678
421.3633778	296	0.946696304	422.5239747	296	0.937742774	424.4421478	296	0.94287724	428.3792253	308	0.932785617	425.799641	308	0.92517567	428.6321317	308	0.931600039	429.5754845	318	0.91848406	429.7551125	318	0.915514771	429.5584083	318	0.925616318
466.5396551	296	0.93710326	467.5031112	296	0.928335918	469.5337709	296	0.93350027	473.2941642	308	0.924111361	470.5451914	308	0.915749502	473.6135842	308	0.923147284	474.4843916	318	0.908878391	474.5964856	318	0.905333854	474.5714339	318	0.917174579
511.267092	296	0.93304174	512.0833503	296	0.924322305	514.181562	296	0.928709635	517.7643639	308	0.918663317	514.842641	308	0.910033357	518.1639347	308	0.917706594	518.9474101	318	0.902406679	518.973912	318	0.898599051	519.2244953	318	0.911750991
555.6366937	296	0.922917167	556.2237646	296	0.911986529	558.3462042	296	0.917012931	561.6144378	308	0.893998191	558.6252097	308	0.894279866	562.1780155	308	0.905900562	562.9183806	318	0.891748374	562.8411124	318	0.887379179	563.4278536	318	0.902748891
599.7102513	296	0.920559021	599.9161583	296	0.910059053	602.0559016	296	0.914108653	605.1406515	308	0.892012649	602.037886	308	0.892179567	605.8082627	308	0.903950004	606.4205149	318	0.8871786	606.2194782	318	0.883173151	607.2320094	318	0.899263176
643.4186223	296	0.911629202	643.2315805	296	0.899665036	645.3204574	296	0.903133143	648.3718232	308	0.88207776	645.1114522	308	0.883855187	649.2430451	308	0.89469368	649.4752407	318	0.876742551	649.1288394	318	0.872113574	650.6449997	318	0.890454725
686.8642342	296	0.908489694	686.3449162	296	0.897212046	688.1497276	296	0.896261767	690.5639366	308	0.876158578	687.2360276	308	0.877841826	691.7252206	308	0.889796462	692.1025218	318	0.873520413	691.6082766	318	0.868865682	693.7236412	318	0.887790089
729.9046943	296	0.900295922	729.046832	296	0.886726476	730.2301295	296	0.878614737	732.3981252	308	0.870818302	729.0142077	308	0.871341963	733.8772468	308	0.884793086
