
SDI REF	SDI REF	SDI REF	SDI REF	SDI REF	SDI REF	SDI 35'	SDI 35'	SDI 35'	SDI 35'	SDI 35'	SDI 35'	SDI 45'	SDI 45'	SDI 45'	SDI 45'	SDI 45'	SDI 45'
1.027932471	296	1	1.026226522	296	1	1.034352197	308	1	1.034929977	308	1	1.037608055	318	1	1.037656773	318	1
49.54403087	296	0.992839151	49.5524611	296	0.991993328	50.59632263	308	0.989821883	50.61690943	308	0.989725435	51.37305641	318	0.988156796	51.38260419	318	0.988703822
97.71055334	296	0.986207234	97.71741998	296	0.985042378	99.70793783	308	0.983097282	99.74782032	308	0.983144395	101.0434969	318	0.979590667	101.070876	318	0.979682285
145.5627187	296	0.980441333	145.4970698	296	0.979211993	148.3379414	308	0.97662535	148.4256264	308	0.977062488	150.10895	318	0.972142627	150.1478692	318	0.972160409
193.0850459	296	0.975090743	192.9461469	296	0.974150082	196.5866801	308	0.970148132	196.7207507	308	0.970712066	198.7035047	318	0.965760143	198.743371	318	0.965832165
240.2491824	296	0.970015816	240.0562659	296	0.969234827	244.362632	308	0.964653365	244.5545893	308	0.965413838	246.7936354	318	0.959849744	246.8372879	318	0.959845918
287.1086594	296	0.965389926	286.8521996	296	0.964443708	291.763776	308	0.959464984	292.0170963	308	0.960351754	294.4484888	318	0.954189811	294.4746936	318	0.954015363
333.6875621	296	0.960952746	333.3392335	296	0.959847589	338.8126489	308	0.954502261	339.1363573	308	0.955466935	341.6574606	318	0.948343391	341.6194096	318	0.947859088
379.9582684	296	0.956395777	379.5130905	296	0.95530046	385.5355452	308	0.951661008	385.9364226	308	0.952487793	388.3247661	318	0.944113631	388.2165195	318	0.943522394
425.9617064	296	0.951677501	425.4240048	296	0.950991122	431.9823308	308	0.945683068	432.4956327	308	0.9467276	434.535427	318	0.934877484	434.2786681	318	0.934141748
471.6430365	296	0.947694456	471.013428	296	0.946530444	478.0916438	308	0.94152059	478.6995846	308	0.942690846	480.0518261	318	0.926171908	479.7077822	318	0.924783597
517.071552	296	0.943792486	516.3420513	296	0.942941347	523.9252458	308	0.937675027	524.6244088	308	0.938874207	524.8611884	318	0.91812934	524.3928744	318	0.916399322
562.2865971	296	0.940458385	561.4838535	296	0.939595705	569.4461924	308	0.933968731	570.2468672	308	0.935234544	569.0601707	318	0.908454694	568.4422189	318	0.90626427
607.2204857	296	0.936398715	606.3470969	296	0.935595045	614.6842319	308	0.930370131	615.588977	308	0.931718703	612.5538563	318	0.89881205	611.7490075	318	0.896005965
651.8736272	296	0.932437285	650.9184375	296	0.931307492	659.6676785	308	0.926938208	660.6693085	308	0.928433478	655.3139829	318	0.887964446	654.2772033	318	0.884511399
696.2966208	296	0.929329605	695.2245025	296	0.928422069	704.3945295	308	0.923624358	705.488646	308	0.925201696	697.2481822	318	0.87764671	695.9419649	318	0.874012013
740.5214564	296	0.92626017	739.368287	296	0.925336427	748.8329035	308	0.922147118	750.0328132	308	0.923746994	738.4328916	318	0.863854471	736.8676339	318	0.858887062
784.5902475	296	0.923092807	783.3732043	296	0.922770362	792.9890933	308	0.917619405	794.2983811	308	0.919243301	778.411053	318	0.848236324	776.4253059	318	0.843446314
828.4375972	296	0.919947283	827.1203012	296	0.919733286	836.8861295	308	0.914096091	838.2534038	308	0.915925684	817.4928425	318	0.835776956	815.073541	318	0.830613338
872.0906269	296	0.917796891	870.6986819	296	0.916983437	880.5188387	308	0.910895025	881.9409676	308	0.912892967	855.4523757	318	0.818616647	852.5740175	318	0.812324
915.5355756	296	0.914310722	914.0818804	296	0.913480791	923.8819139	308	0.907586462	925.3583623	308	0.9096559	892.1496717	318	0.804797855	888.8145471	318	0.797369518
958.8502946	296	0.915845873	957.3496073	296	0.911055608	966.9637613	308	0.904788106	968.500538	308	0.906907574	927.5359261	318	0.788076418	923.698636	318	0.779847179
			1000.20063	296	0.907769458												
