
23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	23도	45도	45도	45도	45도	45도	45도	45도	45도	45도	45도	45도	45도	45도	45도	45도	45도	45도	45도	35도	35도	35도	35도	35도	35도	35도	35도	35도	35도	35도	35도	15도	15도	15도	15도	15도	15도	15도	15도	15도	15도	15도	15도
1	23	4631.2461	1	23	4644.0562	1	23	4629.5659	1	23	4630.856	1	23	4634.5972	1	23	4636.709	1	23	4631.3379	1	23	4632.4658	1	23	4640.378	1	23	4629.433	1	23	4623.78	1	23	4626.017	1	23	4621.549	1	23	4626.373	1	45	4723.6372	1	45	4724.5308	1	45	4720.2612	1	45	4711.4702	1	45	4705.3848	1	45	4712.29	1	35	4732.845215	1	35	4718.325195	1	35	4719.153809	1	35	4727.425781	1	35	4505.4448	1	35	4505.5649	1	35	4500.3789	1	35	4484.3599
201	23	4586.8242	201	23	4589.3472	201	23	4586.2979	201	23	4588.0112	201	23	4589.3462	201	23	4587.9722	201	23	4590.9019	201	23	4586.4629	201	23	4587.777	201	23	4589.376	201	23	4587.838	201	23	4579.767	201	23	4585.208	201	23	4576.734	201	45	4523.8242	201	45	4524.6929	201	45	4502.292	201	45	4508.146	201	45	4507.374	201	45	4487.52	201	35	4647.399902	201	35	4640.35791	201	35	4633.119141	201	35	4632.384766	201	35	4506.6489	201	35	4502.5771	201	35	4498.6982	201	35	4485.437
301	23	4548.2969	301	23	4538.8052	301	23	4555.0688	301	23	4556.4819	301	23	4556.2378	301	23	4556.5181	301	23	4559.2739	301	23	4556.0879	301	23	4552.109	301	23	4556.465	301	23	4559.294	301	23	4548.538	301	23	4554.479	301	23	4544.501	301	45	4417.2471	301	45	4416.9849	301	45	4392.876	301	45	4394.519	301	45	4399.9448	301	45	4387.2891	301	35	4604.168945	301	35	4591.618164	301	35	4580.243164	301	35	4586.207031	301	35	4492.1758	301	35	4486.6011	301	35	4482.043	301	35	4469.208
401	23		401	23	4516.6821	401	23	4524.8442	401	23	4529.6191	401	23	4532.3071	401	23	4533.5161	401	23	4533.335	401	23	4527.7432	401	23	4528.933	401	23	4534.145	401	23	4538.148	401	23	4526.465	401	23	4532.384	401	23	4528.277	401	45	4363.9199	401	45	4362.0532	401	45	4333.3838	401	45	4340.0889	401	45	4341.0259	401	45	4328.4692	401	35	4565.277832	401	35	4555.387207	401	35	4539.043945	401	35	4547.203125	401	35		401	35	4451.5322	401	35	4476.5229	401	35	4456.3159
501	23		501	23	4501.7568	501	23	4517.2432	501	23	4521.6699	501	23	4511.9668	501	23	4510.0908	501	23	4506.6489	501	23	4504.2412	501	23	4525.422	501	23	4527.245	501	23	4536.092	501	23	4520.044	501	23	4527.517	501	23	4517.185	501	45	4302.6689	501	45	4302.9819	501	45		501	45		501	45	4280.3989	501	45	4269.2471	501	35	4528.205078	501	35	4516.091797	501	35	4496.803223	501	35	4507.584961	501	35		501	35		501	35		501	35	
601	23		601	23	4475.8979	601	23	4479.8208	601	23	4485.8008	601	23	4503.1611	601	23	4494.438	601	23	4492.6289	601	23	4492.9028	601	23		601	23	4503.644	601	23	4514.921	601	23	4502.307	601	23	4499.095	601	23	4491.907	701	45	4191.7261	701	45	4190.584	701	45		701	45		701	45	4169.5308	601	45	4220.9868	601	35	4492.349121	601	35	4479.154785	601	35	4456.895996	601	35	4470.296875	601	35		601	35		601	35		601	35	
701	23		701	23	4443.6851	701	23	4450.5469	701	23	4457.9331	701	23	4481.4399	701	23	4465.519	701	23	4463.7822	701	23	4465.46	701	23		701	23	4472.454	701	23	4493.825	701	23	4484.419	701	23	4477.951	701	23	4467.519	801	45	4086.474	801	45	4083.919	801	45		801	45		801	45	4063.909	701	45	4178.3208	701	35	4446.058105	701	35	4430.223145	701	35	4406.581055	701	35	4421.952148	701	35		701	35		701	35		701	35	
801	23		801	23	4412.1792	801	23	4418.9839	801	23	4423.6201	801	23	4451.3862	801	23	4430.5488	801	23	4427.4111	801	23	4432.854	801	23		801	23	4451.359	801	23	4464.327	801	23	4459.587	801	23	4449.082	801	23	4440.883	901	45		901	45		901	45		901	45		901	45		801	45	4045.653	801	35		801	35		801	35		801	35		801	35		801	35		801	35		801	35	
901	23		901	23	4383.6841	901	23	4388.4341	901	23	4398.188	901	23	4423.3662	901	23	4400.7422	901	23	4397.686	901	23	4393.876	901	23		901	23	4427.656	901	23	4440.872	901	23	4438.241	901	23	4428.112	901	23	4421.919	1001	45		1001	45		1001	45		1001	45		1001	45		901	45		901	35		901	35		901	35		901	35		901	35		901	35		901	35		901	35	
1001	23		1001	23	4352.7559	1001	23	4353.4932	1001	23	4367.1108	1001	23	4396.6021	1001	23	4371.0669	1001	23	4369.7412	1001	23	4372.7559	1001	23		1001	23		1001	23	4421.737	1001	23	4420.034	1001	23	4404.134	1001	23	4399.797	1101	45		1101	45		1101	45		1101	45		1101	45		1001	45		1001	35		1001	35		1001	35		1001	35		1001	35		1001	35		1001	35		1001	35	
1101	23		1101	23	4321.478	1101	23	4318.23	1101	23		1101	23	4367.5308	1101	23	4335.877	1101	23	4330.8638	1101	23	4346.042	1101	23		1101	23		1101	23	4390.383	1101	23	4391.79	1101	23	4378.748	1101	23	4372.784	1201	45		1201	45		1201	45		1201	45		1201	45		1101	45		1101	35		1101	35		1101	35		1101	35		1101	35		1101	35		1101	35		1101	35	
1201	23		1201	23	4300.157227	1201	23	4292.265137	1201	23		1201	23	4339.0879	1201	23	4304.3472	1201	23	4287.3682	1201	23	4309.3701	1201	23		1201	23		1201	23	4373.703	1201	23	4378.699219	1201	23	4359.835938	1201	23	4357.481934																1201	45		1201	35		1201	35		1201	35		1201	35		1201	35		1201	35		1201	35		1201	35	
