
25℃	25℃	25℃	25℃	25℃	25℃	25℃	25℃	25℃	25℃	25℃	25℃	25℃	25℃	25℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃
0	25	1	1	25	1	1	25	1	1	25	1	1	25	1	1	23	1	1	23	1	1	23	1	1	23	1	1	23	1	1	23	1	1	23	1	1	45	1	1	45	1	1	45	1	1	45	1	1	45	1	1	45	1	1	45	1	1	45	1	1	45	1	1	45	1
100	25	0.99481343	101	25	0.994591751	101	25	0.99382132	101	25	0.99396118	101	25	0.993987046	101	23	0.991598445	101	23	0.992223331	101	23	0.992338304	101	23	0.991213669	101	23	0.990886628	101	23	0.991616376	101	23	0.99139557	101	45	0.969590304	101	45	0.969570986	101	45	0.966078907	101	45	0.968718773	101	45	0.969967944	101	45	0.966888194	101	45	0.988747347	101	45	0.989511393	101	45	0.988191588	101	45	0.986932989
200	25	0.989626859	201	25	0.98923705	201	25	0.987703815	201	25	0.987982151	201	25	0.988033627	201	23	0.983280074	201	23	0.984523658	201	23	0.984752466	201	23	0.982514331	201	23	0.981863488	201	23	0.983315759	201	23	0.982876332	201	45	0.939481695	201	45	0.939443248	201	45	0.932493666	201	45	0.937747261	201	45	0.940233236	201	45	0.934104227	201	45	0.977606107	201	45	0.979126634	201	45	0.97650009	201	45	0.973995354
300	25	0.983070946	301	25	0.981008509	301	25	0.979402329	301	25	0.980594976	301	25	0.981159854	301	23	0.975020956	301	23	0.977819822	301	23	0.977985142	301	23	0.975426289	301	23	0.975132054	301	23	0.976541423	301	23	0.976366987	301	45	0.917348378	301	45	0.917080282	301	45	0.909831935	301	45	0.914111512	301	45	0.917823623	301	45	0.913240563	301	45	0.968512237	301	45	0.968842431	301	45	0.965355677	301	45	0.964286122
400	25	0.979132272	401	25	0.976586497	401	25	0.975019181	401	25	0.975226132	401	25	0.975366885	401	23	#N/A	401	23	0.971331619	401	23	0.972219418	401	23	0.970303064	401	23	0.970209438	401	23	0.970985624	401	23	0.970292735	401	45	0.906273693	401	45	0.905675041	401	45	0.897510189	401	45	0.902789413	401	45	0.905533206	401	45	0.900996848	401	45	0.960331278	401	45	0.961197613	401	45	0.956672317	401	45	0.956085244
500	25	0.972298567	501	25	0.967943193	501	25	0.965800161	501	25	0.966852388	501	25	0.967494095	501	23	#N/A	501	23	0.96969994	501	23	0.970513233	501	23	0.965948492	501	23	0.965196233	501	23	0.965269783	501	23	0.96525627	501	45	0.893553439	501	45	0.893410312	501	45	#N/A	501	45	#N/A	501	45	0.892886481	501	45	0.888669412	501	45	0.95253282	501	45	0.952906187	501	45	0.947769444	501	45	0.947755213
600	25	0.964137213	601	25	0.959769572	601	25	0.957626032	601	25	0.959903269	601	25	0.961138093	601	23	#N/A	601	23	0.961666611	601	23	0.962814432	601	23	0.964063316	601	23	0.961846406	601	23	0.962266869	601	23	0.962826457	601	45	#N/A	601	45	#N/A	601	45	#N/A	601	45	#N/A	601	45	#N/A	601	45	0.878623741	601	45	0.944990323	601	45	0.945112389	601	45	0.939358391	601	45	0.939915099
700	25	0.961748682	701	25	0.956544121	701	25	0.954052478	701	25	0.955030221	701	25	0.955810139	701	23	#N/A	701	23	0.955382491	701	23	0.95683302	701	23	0.959413113	701	23	0.955657504	701	23	0.956088254	701	23	0.956945481	701	45	0.870513479	701	45	0.870073601	701	45	#N/A	701	45	#N/A	701	45	0.869759517	701	45	0.869742557	701	45	0.935252753	701	45	0.934787696	701	45	0.928753755	701	45	0.92975024
800	25	0.951149392	801	25	0.946267318	801	25	0.943928217	801	25	0.947064673	801	25	0.948349713	801	23	#N/A	801	23	0.948606978	801	23	0.949468214	801	23	0.952979039	801	23	0.948173596	801	23	0.948298003	801	23	0.949958034	801	45	0.84865533	801	45	0.847927189	801	45	#N/A	801	45	#N/A	801	45	0.847726927	801	45	0.842126958	801	45	#N/A	801	45	#N/A	801	45	#N/A	801	45	#N/A
900	25	0.944927471	901	25	0.939362938	901	25	0.936598491	901	25	0.94023718	901	25	0.941452424	901	23	#N/A	901	23	0.942048965	901	23	0.944009569	901	23	0.946980352	901	23	0.94179474	901	23	0.941931246	901	23	0.941605072	901	45	#N/A	901	45	#N/A	901	45	#N/A	901	45	#N/A	901	45	#N/A	901	45	#N/A	901	45	#N/A	901	45	#N/A	901	45	#N/A	901	45	#N/A
1000	25	0.937990718	1001	25	0.931797451	1001	25	0.92883267	1001	25	0.933557553	1001	25	0.934898096	1001	23	#N/A	1001	23	0.934548331	1001	23	0.937339283	1001	23	0.941250536	1001	23	0.935443984	1001	23	0.935945807	1001	23	0.937079046	1001	45	#N/A	1001	45	#N/A	1001	45	#N/A	1001	45	#N/A	1001	45	#N/A	1001	45	#N/A	1001	45	#N/A	1001	45	#N/A	1001	45	#N/A	1001	45	#N/A
1100	25	#N/A	1101	25	#N/A	1101	25	#N/A	1101	25	#N/A	1101	25	#N/A	1101	23	#N/A	1101	23	0.92697851	1101	23	#N/A	1101	23	0.93502678	1101	23	0.927913058	1101	23	0.927618737	1101	23	0.931354273	1101	45	#N/A	1101	45	#N/A	1101	45	#N/A	1101	45	#N/A	1101	45	#N/A	1101	45	#N/A	1101	45	#N/A	1101	45	#N/A	1101	45	#N/A	1101	45	#N/A
1200	25	#N/A	1201	25	#N/A	1201	25	#N/A	1201	25	#N/A	1201	25	#N/A	1201	23	#N/A	1201	23	0.921404729	1201	23	#N/A	1201	23	0.928937556	1201	23	0.921165423	1201	23	0.918302505	1201	23	0.923495506	1201	45	#N/A	1201	45	#N/A	1201	45	#N/A	1201	45	#N/A	1201	45	#N/A	1201	45	#N/A	1201	45	#N/A	1201	45	#N/A	1201	45	#N/A	1201	45	#N/A
