
23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃
1	23	1	1	23	1	1	23	1	1	23	1	1	23	1	1	23	1	1	23	1	1	23	1	1	35	1	1	35	1	1	35	1	1	35	1	1	45	1	1	45	1	1	45	1	1	45	1	1	45	1	1	45	1
2	23	1.002227724	2	23	1.002148948	2	23	1.001071749	2	23	1.001252804	2	23	1.002233119	2	23	1.001762568	2	23	1.002101586	2	23	1.001707754	2	35	1.000428843	2	35	1.000197663	2	35	1.000306604	2	35	1.000271864	2	45	1.00129786	2	45	1.000606974	2	45	1.000891355	2	45	1.000582167	2	45	1.000732357	2	45	1.000595575
3	23	1.003125221	3	23	1.003348622	3	23	1.000987233	3	23	1.001323251	3	23	1.002808256	3	23	1.002111514	3	23	1.003389921	3	23	1.002450256	3	35	1.000442712	3	35	1.000183739	3	35	1.000313174	3	35	1.000401267	3	45	1.001554866	3	45	1.000782818	3	45	1.001027101	3	45	1.000582837	3	45	1.000800081	3	45	1.000270123
4	23	1.003097315	4	23	1.001591023	4	23	1.00105718	4	23	1.001393248	4	23	1.003215873	4	23	1.002196197	4	23	1.002227963	4	23	1.00252011	4	35	1.000496808	4	35	1.000074812	4	35	1.000252236	4	35	1.000190544	4	45	1.001365351	4	45	1.000634114	4	45	1.000959013	4	45	1.000555587	4	45	1.000827759	4	45	1.000487832
5	23	1.002578501	5	23	1.001953163	5	23	1.000649102	5	23	1.000901403	5	23	1.003286168	5	23	1.002349354	5	23	1.002283333	5	23	1.002869824	5	35	1.000395139	5	35	0.999972337	5	35	1.000190474	5	35	1.000197491	5	45	1.001271122	5	45	1.000701654	5	45	1.000878018	5	45	1.000474594	5	45	1.000746218	5	45	1.000420042
6	23	1.002563777	6	23	1.002762689	6	23	1.000691371	6	23	1.000703992	6	23	1.003328008	6	23	1.002153655	6	23	1.002577788	6	23	1.003639308	6	35	1.000217869	6	35	0.999842743	6	35	1.000129363	6	35	1.00014307	6	45	1.001122318	6	45	1.00028346	6	45	1.00076983	6	45	1.000298885	6	45	1.000583589	6	45	1.000311393
7	23	1.0028446	7	23	1.002078874	7	23	1.000959129	7	23	1.001125683	7	23	1.003426331	7	23	1.002139808	7	23	1.002465661	7	23	1.003037451	7	35	1.00005456	7	35	0.999740732	7	35	0.999986089	7	35	1.000088663	7	45	1.001041048	7	45	1.000161854	7	45	1.000675476	7	45	1.000149107	7	45	1.000461418	7	45	1.000189591
8	23	1.002914487	8	23	1.00224614	8	23	1.001227583	8	23	1.001210909	8	23	1.003482701	8	23	1.002880533	8	23	1.002479889	8	23	1.00365339	8	35	0.999958964	8	35	0.999618093	8	35	0.999883194	8	35	0.999877954	8	45	1.000878853	8	45	0.999999806	8	45	1.000499847	8	45	1.000000454	8	45	1.000285232	8	45	1.000026973
9	23	1.001724102	9	23	1.001981437	9	23	1.001495116	9	23	1.000661827	9	23	1.00195239	9	23	1.000964563	9	23	1.000182484	9	23	1.002058116	9	35	0.999829505	9	35	0.999501946	9	35	0.99978124	9	35	0.999802734	9	45	1.000716486	9	45	0.999797037	9	45	1.000378537	9	45	0.999797127	9	45	1.000081541	9	45	0.999878393
10	23	1.001499381	10	23	1.0013812	10	23	1.002157303	10	23	1.000577745	10	23	1.001811286	10	23	1.000658204	10	23	1.000014719	10	23	1.001414972	10	35	0.999768687	10	35	0.999365569	10	35	0.999686175	10	35	0.999422677	10	45	1.000635453	10	45	0.999688991	10	45	1.000243438	10	45	0.999634384	10	45	0.999891862	10	45	0.999715797
11	23	1.001639871	11	23	1.000795066	11	23	1.001875763	11	23	1.00040866	11	23	1.00167072	11	23	1.000084238	11	23	0.99994483	11	23	1.002030688	11	35	0.999693085	11	35	0.999249673	11	35	0.999774922	11	35	0.99929305	11	45	1.000499996	11	45	0.999540503	11	45	1.000067614	11	45	0.999485731	11	45	0.999701837	11	45	0.999580368
12	23	1.001541586	12	23	1.00059997	12	23	1.001184414	12	23	1.000254109	12	23	1.001460554	12	23	0.999818481	12	23	0.999790511	12	23	1.001232392	12	35	0.999516451	12	35	0.999120252	12	35	1.0000339	12	35	0.999095797	12	45	1.000310891	12	45	0.999324626	12	45	0.999838182	12	45	0.999241929	12	45	0.999444499	12	45	0.999404166
13	23	1.001611943	13	23	1.000795511	13	23	1.001579654	13	23	1.00040884	13	23	1.001362231	13	23	0.999776764	13	23	0.999874226	13	23	1.001820457	13	35	0.999407198	13	35	0.998949508	13	35	0.999760971	13	35	0.998953388	13	45	1.000161893	13	45	0.999216558	13	45	0.999743591	13	45	0.99917388	13	45	0.999417254	13	45	0.999282321
14	23	1.001289809	14	23	1.000502734	14	23	1.000846711	14	23	1.000479308	14	23	1.001193906	14	23	0.999566995	14	23	0.999748721	14	23	1.001680058	14	35	0.999353076	14	35	0.998792954	14	35	0.999781665	14	35	0.998763029	14	45	0.999877912	14	45	0.999122287	14	45	0.999689271	14	45	0.998997544	14	45	0.999214017	14	45	0.999092946
15	23	1.000826873	15	23	1.000223326	15	23	1.001438232	15	23	1.000394732	15	23	1.001601568	15	23	0.999916141	15	23	0.999622478	15	23	1.001218578	15	35	0.999066778	15	35	0.998629193	15	35	0.999542636	15	35	0.998606925	15	45	0.999905297	15	45	0.998933572	15	45	0.999581321	15	45	0.998808005	15	45	0.999051172	15	45	0.998957345
16	23	1.000911327	16	23	1.001088489	16	23	1.000395015	16	23	0.999930451	16	23	1.00133492	16	23	0.999958305	16	23	0.999818811	16	23	1.001400197	16	35	0.999038961	16	35	0.998506514	16	35	0.999392566	16	35	0.998491217	16	45	0.999837848	16	45	0.998784848	16	45	0.999446437	16	45	0.998672339	16	45	0.99886132	16	45	0.998821506
17	23	1.00067224	17	23	1.001102259	17	23	0.999817208	17	23	0.99933972	17	23	1.001109955	17	23	1.000154049	17	23	0.999510151	17	23	1.001050773	17	35	0.998943855	17	35	0.99838365	17	35	0.999242948	17	35	0.998470841	17	45	0.999715997	17	45	0.998690555	17	45	0.999284209	17	45	0.998550633	17	45	0.998657867	17	45	0.998659708
18	23	1.001877863	18	23	1.000641793	18	23	1.00090229	18	23	0.999564673	18	23	1.001460733	18	23	1.000614925	18	23	1.000896988	18	23	1.001749934	18	35	0.99869923	18	35	0.998226831	18	35	0.999249691	18	35	0.99819203	18	45	0.999540067	18	45	0.998569143	18	45	0.999149088	18	45	0.998333671	18	45	0.998535891	18	45	0.9983887
19	23	1.000967407	19	23	1.000446229	19	23	0.999408434	19	23	0.999663154	19	23	1.001713703	19	23	1.001146461	19	23	1.000644592	19	23	1.00142834	19	35	0.998542166	19	35	0.998103967	19	35	0.999214928	19	35	0.998137636	19	45	0.999350725	19	45	0.998447537	19	45	0.998892054	19	45	0.998130344	19	45	0.998278163	19	45	0.998198893
20	23	1.00070037	20	23	1.00072586	20	23	1.00064863	20	23	1.000043084	20	23	1.001839762	20	23	1.000657535	20	23	1.000728128	20	23	1.001525889	20	35	0.998365559	20	35	0.997947599	20	35	0.998949591	20	35	0.997920192	20	45	0.998999469	20	45	0.997988664	20	45	0.998392552	20	45	0.997791287	20	45	0.998101891	20	45	0.997546672
21	23	1.000588233	21	23	1.000628	21	23	0.999675764	21	23	0.999677284	21	23	1.001882297	21	23	1.000615817	21	23	1.000897211	21	23	1.002029572	21	35	0.998133556	21	35	0.997797297	21	35	0.999003959	21	35	0.997736131	21	45	0.998729051	21	45	0.997799691	21	45	0.998189407	21	45	0.997398875	21	45	0.997668388	21	45	0.994285264
22	23	1.001008741	22	23	1.001409474	22	23	1.000564541	22	23	0.999930002	22	23	1.001881625	22	23	1.001104587	22	23	1.000840724	22	23	1.001987615	22	35	0.997963471	22	35	0.997613359	22	35	0.998397442	22	35	0.997498351	22	45	0.998539967	22	45	0.997772615	22	45	0.998067883	22	45	0.997425672	22	45	0.997545784	22	45	0.993039369
23	23	1.001289362	23	23	1.000670045	23	23	1.000155587	23	23	1.000099132	23	23	1.001881849	23	23	1.000657245	23	23	1.000813005	23	23	1.002533054	23	35	0.9978268	23	35	0.997490694	23	35	0.99871124	23	35	0.997260928	23	45	0.997985374	23	45	0.997597202	23	45	0.997851551	23	45	0.997235916	23	45	0.997356127	23	45	0.993228766
24	23	1.000966714	24	23	0.999916556	24	23	1.000014142	24	23	1.000253885	24	23	1.001797899	24	23	0.999734868	24	23	1.000756718	24	23	1.001946105	24	35	0.997792963	24	35	0.997340631	24	35	0.998649916	24	35	0.997042889	24	45	0.997701372	24	45	0.997300591	24	45	0.997581546	24	45	0.997005124	24	45	0.997165821	24	45	0.993621381
25	23	1.000532578	25	23	1.001381422	25	23	1.000549927	25	23	0.999902887	25	23	1.00200858	25	23	1.000042542	25	23	1.001008868	25	23	1.000658387	25	35	0.997533992	25	35	0.997231413	25	35	0.998417657	25	35	0.9968866	25	45	0.997376853	25	45	0.997178964	25	45	0.99735207	25	45	0.996816233	25	45	0.996922365	25	45	0.993716209
26	23	0.999649603	26	23	1.001242186	26	23	0.999041951	26	23	0.998875686	26	23	1.00147506	26	23	0.999510784	26	23	1.000364299	26	23	1.000224558	26	35	0.997370617	26	35	0.997074633	26	35	0.997988353	26	35	0.996655925	26	45	0.996863013	26	45	0.996895526	26	45	0.997135933	26	45	0.996558666	26	45	0.996637803	26	45	0.993783761
27	23	0.999873966	27	23	1.000795934	27	23	0.998351029	27	23	0.998791603	27	23	1.001419094	27	23	0.999609091	27	23	1.000084407	27	23	0.999958958	27	35	0.997207268	27	35	0.996917376	27	35	0.997954002	27	35	0.996465566	27	45	0.996511584	27	45	0.996720134	27	45	0.996824622	27	45	0.996327895	27	45	0.996434307	27	45	0.993770394
28	23	1.000588434	28	23	1.000391037	28	23	0.999196885	28	23	0.999705274	28	23	1.001741283	28	23	1.000181942	28	23	1.000098457	28	23	1.000028566	28	35	0.997057417	28	35	0.996740593	28	35	0.997824161	28	35	0.996234507	28	45	0.996118927	28	45	0.996274369	28	45	0.996486981	28	45	0.996002841	28	45	0.996149334	28	45	0.993729771
29	23	1.000322134	29	23	0.999777297	29	23	0.999563143	29	23	0.999663379	29	23	1.001263954	29	23	0.999665056	29	23	1.000140225	29	23	0.999832865	29	35	0.996757794	29	35	0.996577017	29	35	0.997442934	29	35	0.99598974	29	45	0.995699964	29	45	0.995977587	29	45	0.996135528	29	45	0.995718262	29	45	0.995756224	29	45	0.99354018
30	23	0.999313125	30	23	0.999009815	30	23	0.998519679	30	23	0.999015838	30	23	1.000253418	30	23	0.998378326	30	23	0.999355609	30	23	0.999104646	30	35	0.996491954	30	35	0.996386097	30	35	0.997197003	30	35	0.995711393	30	45	0.995415961	30	45	0.995707644	30	45	0.99579765	30	45	0.995474482	30	45	0.99537652	30	45	0.992904178
31	23	0.998767097	31	23	0.999010038	31	23	0.998477387	31	23	0.998594641	31	23	0.999930422	31	23	0.998126818	31	23	0.998332825	31	23	0.998544701	31	35	0.996274271	31	35	0.996174669	31	35	0.997122154	31	35	0.995398379	31	45	0.995199687	31	45	0.995437744	31	45	0.995473842	31	45	0.995257758	31	45	0.995118749	31	45	0.993052737
32	23	0.99892126	32	23	0.998326401	32	23	0.99829437	32	23	0.998398194	32	23	0.999678124	32	23	0.998378549	32	23	0.998221369	32	23	0.998349445	32	35	0.996205802	32	35	0.995949395	32	35	0.996849026	32	35	0.995086199	32	45	0.994942875	32	45	0.995208329	32	45	0.995176257	32	45	0.994999953	32	45	0.994820608	32	45	0.992944562
33	23	0.99931317	33	23	0.998591371	33	23	0.997744421	33	23	0.998622249	33	23	1.000211174	33	23	0.998979428	33	23	0.998697571	33	23	0.998600963	33	35	0.995953805	33	35	0.995812806	33	35	0.996733321	33	35	0.994895628	33	45	0.994686063	33	45	0.994938407	33	45	0.995014633	33	45	0.994647736	33	45	0.99444045	33	45	0.992822523
34	23	0.999075424	34	23	0.996680453	34	23	0.998041227	34	23	0.998608568	34	23	0.99969178	34	23	0.998602209	34	23	0.998768152	34	23	0.998545169	34	35	0.995871972	34	35	0.995669685	34	35	0.996610687	34	35	0.99468513	34	45	0.994442814	34	45	0.994722573	34	45	0.994798086	34	45	0.994498628	34	45	0.994237213	34	45	0.992687138
35	23	0.998333206	35	23	0.997029023	35	23	0.997857514	35	23	0.998410776	35	23	0.999186265	35	23	0.998741765	35	23	0.997982844	35	23	0.998433091	35	35	0.995558905	35	35	0.995479164	35	35	0.996358385	35	35	0.994480706	35	45	0.994077326	35	45	0.994398414	35	45	0.994622909	35	45	0.994349694	35	45	0.994047772	35	45	0.992497309
36	23	0.998024634	36	23	0.996233979	36	23	0.997222599	36	23	0.998102593	36	23	0.998807236	36	23	0.998979651	36	23	0.997731565	36	23	0.999525352	36	35	0.995333399	36	35	0.995308685	36	35	0.995956505	36	35	0.994243349	36	45	0.993820342	36	45	0.994128707	36	45	0.994419936	36	45	0.994132537	36	45	0.993844103	36	45	0.99232128
37	23	0.998206994	37	23	0.996471342	37	23	0.997786443	37	23	0.998060429	37	23	0.998513343	37	23	0.998378527	37	23	0.997521563	37	23	0.999609244	37	35	0.995020835	37	35	0.995137942	37	35	0.995853901	37	35	0.994046096	37	45	0.993468826	37	45	0.993791483	37	45	0.994055167	37	45	0.993874927	37	45	0.993681453	37	45	0.992091282
38	23	0.998318885	38	23	0.996875549	38	23	0.997223723	38	23	0.997947818	38	23	0.998610905	38	23	0.998336876	38	23	0.9978017	38	23	0.999329383	38	35	0.994871143	38	35	0.994933296	38	35	0.995744899	38	35	0.993801092	38	45	0.993130529	38	45	0.993480668	38	45	0.993771157	38	45	0.993644826	38	45	0.993436937	38	45	0.991603472
39	23	0.998263297	39	23	0.996597054	39	23	0.996715346	39	23	0.997905227	39	23	0.998400022	39	23	0.998224478	39	23	0.997353641	39	23	1.00033677	39	35	0.994612225	39	35	0.994783486	39	35	0.995642707	39	35	0.993597316	39	45	0.992887086	39	45	0.993237908	39	45	0.993514554	39	45	0.993360831	39	45	0.992935235	39	45	0.991779889
40	23	0.997912944	40	23	0.996010186	40	23	0.997590431	40	23	0.997990005	40	23	0.998034895	40	23	0.998378794	40	23	0.996596409	40	23	0.998796866	40	35	0.994618748	40	35	0.99456554	40	35	0.995110998	40	35	0.993345669	40	45	0.992684612	40	45	0.993035376	40	45	0.993244592	40	45	0.993197936	40	45	0.992732193	40	45	0.991576887
41	23	0.997786955	41	23	0.996861779	41	23	0.997519158	41	23	0.998397745	41	23	0.998316296	41	23	0.997469929	41	23	0.996667683	41	23	0.998769214	41	35	0.994305919	41	35	0.994435481	41	35	0.995458737	41	35	0.993128649	41	45	0.992481923	41	45	0.992833252	41	45	0.993081675	41	45	0.993034999	41	45	0.99261026	41	45	0.991400642
42	23	0.998907609	42	23	0.998005416	42	23	0.998999681	42	23	0.999410122	42	23	0.999074108	42	23	0.998155157	42	23	0.997367221	42	23	0.998755154	42	35	0.994305681	42	35	0.9943059	42	35	0.995267546	42	35	0.992958282	42	45	0.992265648	42	45	0.992657387	42	45	0.992825266	42	45	0.992858858	42	45	0.992406763	42	45	0.991278668
43	23	0.999300211	43	23	0.996777445	43	23	0.999535466	43	23	0.999705767	43	23	0.999565272	43	23	0.998449007	43	23	0.997773311	43	23	0.999007342	43	35	0.993992693	43	35	0.994094684	43	35	0.995266922	43	35	0.992788511	43	45	0.992103497	43	45	0.992454897	43	45	0.99247405	43	45	0.992669145	43	45	0.992230577	43	45	0.991156844
44	23	0.999089499	44	23	0.996875549	44	23	0.999084894	44	23	0.999311887	44	23	0.99907413	44	23	0.998714318	44	23	0.998278348	44	23	0.999231431	44	35	0.993870155	44	35	0.993890291	44	35	0.994449462	44	35	0.992591218	44	45	0.991805737	44	45	0.99225258	44	45	0.992298227	44	45	0.992506813	44	45	0.992067754	44	45	0.990953604
45	23	0.998865605	45	23	0.996973409	45	23	0.997787567	45	23	0.999227603	45	23	0.999073884	45	23	0.998518797	45	23	0.998124185	45	23	0.999875245	45	35	0.993195599	45	35	0.993705862	45	35	0.994224132	45	35	0.992346716	45	45	0.991346236	45	45	0.992036703	45	45	0.991947226	45	45	0.992303249	45	45	0.991878075	45	45	0.990763991
46	23	0.998823624	46	23	0.99651272	46	23	0.998760433	46	23	0.999593829	46	23	0.999945153	46	23	0.998085122	46	23	0.998053626	46	23	0.998041621	46	35	0.993161736	46	35	0.993310455	46	35	0.9939651	46	35	0.99192551	46	45	0.991021286	46	45	0.99150958	46	45	0.99167679	46	45	0.99158453	46	45	0.990820288	46	45	0.990561032
47	23	0.999257761	47	23	0.996513387	47	23	0.998675265	47	23	0.999818109	47	23	1.000407684	47	23	0.999134212	47	23	0.998767705	47	23	0.999986855	47	35	0.993304481	47	35	0.993344623	47	35	0.994469678	47	35	0.991925073	47	45	0.990561763	47	45	0.991442858	47	45	0.991474507	47	45	0.991706862	47	45	0.991308325	47	45	0.990344165
48	23	0.999622613	48	23	0.996401268	48	23	0.999479234	48	23	1.000015498	48	23	1.000450018	48	23	0.998993943	48	23	0.999104084	48	23	0.99925906	48	35	0.993004911	48	35	0.993140203	48	35	0.993753734	48	35	0.991734754	48	45	0.990413196	48	45	0.99115942	48	45	0.991312	48	45	0.99162561	48	45	0.991050987	48	45	0.990140731
49	23	0.999566332	49	23	0.997182342	49	23	0.998971802	49	23	0.999775922	49	23	1.000408378	49	23	0.998798399	49	23	0.99869804	49	23	0.999161332	49	35	0.992834376	49	35	0.992976428	49	35	0.993521939	49	35	0.991537911	49	45	0.990548394	49	45	0.991064912	49	45	0.991271707	49	45	0.991341441	49	45	0.990671304	49	45	0.989802364
50	23	0.992966297	50	23	0.996833683	50	23	0.993683903	50	23	0.994586133	50	23	0.999832592	50	23	0.997581213	50	23	0.998361639	50	23	0.999357056	50	35	0.992160297	50	35	0.992799379	50	35	0.992887999	50	35	0.991327215	50	45	0.990467103	50	45	0.99110516	50	45	0.991284851	50	45	0.991584962	50	45	0.990982917	50	45	0.989639919
