Capacity (mAh), Voltage (V)
0, 4.488609
0.013, 4.451712
16.336, 4.421834
32.685, 4.409942
49.035, 4.400189
65.385, 4.391953
81.735, 4.384881
98.085, 4.378533
114.434, 4.373044
130.784, 4.367734
147.134, 4.362981
163.484, 4.358708
179.834, 4.354563
196.184, 4.350783
212.533, 4.347004
228.883, 4.343471
245.233, 4.339809
261.583, 4.336757
277.932, 4.333339
294.282, 4.329923
310.632, 4.326687
326.982, 4.323454
343.332, 4.320284
359.682, 4.317238
376.031, 4.313885
392.381, 4.310536
408.731, 4.307488
425.081, 4.30438
441.43, 4.301023
457.78, 4.29791
474.13, 4.294678
490.48, 4.291015
506.83, 4.287966
523.179, 4.284674
539.529, 4.281257
555.879, 4.278146
572.229, 4.274613
588.579, 4.271197
604.928, 4.267843
621.278, 4.264428
637.628, 4.260833
653.978, 4.257474
670.327, 4.253996
686.677, 4.250461
703.027, 4.246804
719.377, 4.243444
735.727, 4.239604
752.077, 4.235821
768.426, 4.232165
784.776, 4.228691
801.126, 4.224855
817.476, 4.221201
833.825, 4.217532
850.175, 4.213931
866.525, 4.21015
882.875, 4.206251
899.225, 4.202588
915.574, 4.198627
931.924, 4.194959
948.274, 4.191001
964.624, 4.187037
980.974, 4.183075
997.324, 4.179423
1013.673, 4.175513
1030.023, 4.171487
1046.373, 4.167765
1062.723, 4.163863
1079.072, 4.160079
1095.422, 4.156176
1111.772, 4.151968
1128.122, 4.148307
1144.472, 4.144352
1160.821, 4.140381
1177.171, 4.136421
1193.521, 4.132454
1209.871, 4.128491
1226.221, 4.124528
1242.57, 4.120557
1258.92, 4.116901
1275.27, 4.112755
1291.62, 4.108915
1307.97, 4.104764
1324.32, 4.100797
1340.669, 4.097081
1357.019, 4.09312
1373.369, 4.089154
1389.718, 4.085192
1406.068, 4.08123
1422.418, 4.077514
1438.768, 4.073304
1455.118, 4.069401
1471.467, 4.06537
1487.817, 4.061405
1504.167, 4.057441
1520.517, 4.053296
1536.867, 4.049268
1553.216, 4.045243
1569.566, 4.041283
1585.916, 4.037013
1602.266, 4.033044
1618.616, 4.028786
1634.965, 4.024816
1651.315, 4.020548
1667.665, 4.016274
1684.015, 4.012007
1700.364, 4.007735
1716.714, 4.003527
1733.064, 3.999502
1749.414, 3.995052
1765.764, 3.990728
1782.114, 3.986582
1798.464, 3.982433
1814.813, 3.977859
1831.163, 3.973651
1847.513, 3.969624
1863.863, 3.96566
1880.213, 3.96158
1896.562, 3.957434
1912.912, 3.953649
1929.262, 3.949812
1945.611, 3.946147
1961.961, 3.942487
1978.311, 3.938824
1994.661, 3.935163
2011.011, 3.931808
2027.36, 3.928452
2043.71, 3.925225
2060.06, 3.922052
2076.41, 3.918702
2092.76, 3.915654
2109.109, 3.912603
2125.459, 3.909243
2141.809, 3.906505
2158.159, 3.903451
2174.509, 3.9004
2190.859, 3.897479
2207.208, 3.89461
2223.558, 3.891871
2239.908, 3.889072
2256.257, 3.886082
2272.607, 3.883518
2288.957, 3.880593
