Capacity (mAh), Voltage (V)
0, 0.098417263
0.055867305, 0.101374768
0.055918868, 0.101377498
0.055970431, 0.101381457
0.056021994, 0.101385994
0.056073557, 0.101390531
0.05612512, 0.101395068
0.056176682, 0.101399605
0.056228245, 0.101404142
0.056279808, 0.101408679
0.056331371, 0.101413216
0.056382934, 0.101417753
0.056434497, 0.10142229
0.056486059, 0.101426827
0.056537622, 0.101431364
0.056589185, 0.101401856
0.056640748, 0.101332709
0.056692311, 0.101263562
0.056743874, 0.101194414
0.056795436, 0.101125267
0.056846999, 0.10105612
0.056898562, 0.100986972
0.056950125, 0.100956694
0.057001688, 0.10097684
0.057053251, 0.100996986
0.057104814, 0.101017132
0.057156376, 0.101037279
0.057207939, 0.101057425
0.057259502, 0.101077571
0.057311065, 0.101097717
0.057362628, 0.101117863
0.057414191, 0.101138009
0.057465753, 0.101158156
0.057517316, 0.101178302
0.057568879, 0.101198448
0.057620442, 0.101218594
0.057672005, 0.10123874
0.057723568, 0.101258887
0.05777513, 0.101279033
0.057826693, 0.101299179
0.057878256, 0.101319325
0.057929819, 0.101339471
0.057981382, 0.101359617
0.058032945, 0.101379764
0.058084507, 0.10139991
0.05813607, 0.101420056
0.058187633, 0.101440202
0.058239196, 0.101460348
0.058290759, 0.101480494
0.058342322, 0.101500641
0.058393884, 0.101520787
0.058445447, 0.101540933
0.05849701, 0.101561079
0.058548573, 0.101581225
0.058600136, 0.101601372
0.058651699, 0.101621518
0.058703262, 0.101641664
0.058754824, 0.10166181
0.058806387, 0.101681956
0.05885795, 0.101702102
0.058909513, 0.101722249
0.058961076, 0.101742395
0.059012639, 0.101762541
0.059064201, 0.10177604
0.059115764, 0.101786415
0.059167327, 0.10179679
0.05921889, 0.101807164
0.059270453, 0.101817539
0.059322016, 0.101827914
0.059373578, 0.101838289
0.059425141, 0.101844848
0.059476704, 0.101849383
0.059528267, 0.101853919
0.05957983, 0.101858455
0.059631393, 0.101862991
0.059682955, 0.101867527
0.059734518, 0.101872063
0.059786081, 0.101876599
0.059837644, 0.101881135
0.059889207, 0.101885671
0.05994077, 0.101890206
0.059992333, 0.101894742
0.060043895, 0.101899278
0.060095458, 0.101903814
0.060147021, 0.10190835
0.060198584, 0.101912886
0.060250147, 0.101917422
0.06030171, 0.101859068
0.060353272, 0.101784112
0.060404835, 0.101709157
0.060456398, 0.101634201
0.060507961, 0.101559246
0.060559524, 0.10148429
0.060611087, 0.101409335
0.060662649, 0.101407219
0.060714212, 0.101427365
0.060765775, 0.101447511
0.060817338, 0.101467657
0.060868901, 0.101487803
0.060920464, 0.10150795
0.060972026, 0.101528096
0.061023589, 0.101548242
0.061075152, 0.101568388
0.061126715, 0.101588534
0.061178278, 0.101608681
0.061229841, 0.101628827
0.061281404, 0.101648973
0.061332966, 0.101669119
0.061384529, 0.101689265
0.061436092, 0.101709411
0.061487655, 0.101729558
0.061539218, 0.101749704
0.061590781, 0.10176985
0.061642343, 0.101789996
0.061693906, 0.101810142
0.061745469, 0.101830288
0.061797032, 0.101850435
0.061848595, 0.101870581
0.061900158, 0.101890218
0.06195172, 0.101909781
0.062003283, 0.101929345
0.062054846, 0.101948909
0.062106409, 0.101968473
0.062157972, 0.101988037
0.062209535, 0.102007601
0.062261097, 0.102027165
0.06231266, 0.102038689
0.062364223, 0.102040104
0.062415786, 0.102041519
0.062467349, 0.102042934
0.062518912, 0.102044349
0.062570474, 0.102045764
0.062622037, 0.102047179
0.0626736, 0.102048594
0.062725163, 0.102050009
0.062776726, 0.102051425
0.062828289, 0.10205284
0.062879852, 0.102054255
0.062931414, 0.10205567
0.062982977, 0.102057085
0.06303454, 0.1020585
0.063086103, 0.102059916
0.063137666, 0.102063388
0.063189229, 0.102066894
0.063240791, 0.1020704
0.063292354, 0.102073906
0.063343917, 0.102077412
0.06339548, 0.102080918
0.063447043, 0.102084424
0.063498606, 0.10208793
0.063550168, 0.102056213
0.063601731, 0.101995921
0.063653294, 0.101935629
0.063704857, 0.10187498
0.06375642, 0.101812701
0.063807983, 0.101750422
0.063859545, 0.101688144
0.063911108, 0.101668124
0.063962671, 0.101686283
0.064014234, 0.101704443
0.064065797, 0.101722602
0.06411736, 0.101740761
0.064168923, 0.101758921
0.064220485, 0.10177708
0.064272048, 0.10179524
0.064323611, 0.101813354
0.064375174, 0.101831033
0.064426737, 0.101848712
0.0644783, 0.101866391
0.064529862, 0.101884069
0.064581425, 0.101901748
0.064632988, 0.101919427
0.064684551, 0.101936099
0.064736114, 0.101938647
0.064787677, 0.101941195
0.064839239, 0.101943743
0.064890802, 0.101946292
0.064942365, 0.10194884
0.064993928, 0.101951388
0.065045491, 0.101953936
0.065097054, 0.101956485
0.065148616, 0.101959033
0.065200179, 0.101961581
0.065251742, 0.101964129
0.065303305, 0.101966677
0.065354868, 0.101969226
0.065406431, 0.101971774
0.065457994, 0.101974322
0.065509556, 0.10197687
0.065561119, 0.101979419
0.065612682, 0.101981967
0.065664245, 0.101984515
0.065715808, 0.101987063
0.065767371, 0.101989612
0.065818933, 0.10199216
0.065870496, 0.101994708
0.065922059, 0.101998781
