Capacity (mAh), Voltage (V)
0, 4.515565217
0, 4.515565217
0.000198333, 4.50410551
0.000528889, 4.50237041
0.000859444, 4.501931628
0.001322222, 4.500752114
0.001652778, 4.500280356
0.002049444, 4.499083332
0.00238, 4.498556825
0.002446111, 4.498451524
0.002710556, 4.498114086
0.003041111, 4.497329505
0.003371667, 4.497110141
0.003702222, 4.496890777
0.004098889, 4.496683335
0.004429444, 4.496573654
0.004826028, 4.496442063
0.005222611, 4.496310472
0.005553097, 4.495614889
0.005883583, 4.495483299
0.006214139, 4.495351681
0.006544694, 4.49523411
0.006941361, 4.495102492
0.007271847, 4.494992833
0.007602333, 4.494317957
0.007932889, 4.494221999
0.008263444, 4.494127987
0.008660111, 4.494015171
0.008990667, 4.493921158
0.009387333, 4.493808338
0.009717889, 4.493714319
0.010048444, 4.4936203
0.010379, 4.492961064
0.010775667, 4.492844687
0.011172333, 4.49271306
0.011568917, 4.492581461
0.011899403, 4.492471795
0.012296069, 4.492434783
0.012626625, 4.492434783
0.013023292, 4.491869565
0.013353847, 4.491860302
0.013750514, 4.491747487
0.014081069, 4.491088256
0.014477736, 4.491540658
0.014808292, 4.491446645
0.015138847, 4.490869565
0.015535514, 4.490869565
0.015866069, 4.490869565
0.016262736, 4.490828791
0.016593292, 4.490697173
0.016923847, 4.490565555
0.017320514, 4.490412141
0.017783292, 4.490258586
0.018113847, 4.490148905
0.018444403, 4.490039223
0.018841069, 4.489434783
0.019171625, 4.489434783
0.019568292, 4.489434783
0.019898847, 4.489424435
0.020229403, 4.489292808
0.020692181, 4.489108531
0.021088847, 4.489
0.021419403, 4.489
0.021882181, 4.489
0.022212736, 4.488434783
0.022609403, 4.488323847
0.022939958, 4.488214165
0.023336625, 4.488082547
0.023667181, 4.488
0.024063847, 4.488
0.024394403, 4.488
0.024791069, 4.488
0.025121625, 4.487910057
0.025452181, 4.487213221
0.025848847, 4.48705528
0.026179403, 4.487
0.026576069, 4.487
0.026906625, 4.487
0.027303292, 4.486432681
0.027633847, 4.486301063
0.027964403, 4.486169445
0.028361069, 4.486011503
0.028691625, 4.486
0.029088292, 4.486
0.029551069, 4.486
0.029881625, 4.485939832
0.030278292, 4.485808213
0.030608847, 4.485133314
0.031005514, 4.485001696
0.031336069, 4.485
0.031798847, 4.485
0.032129403, 4.485
0.032526069, 4.48491833
0.032856625, 4.484786712
0.033253292, 4.48462877
0.033583847, 4.484565217
0.033980514, 4.484
0.034311069, 4.484
0.034641625, 4.484
0.035038292, 4.484
0.035368847, 4.484
0.035765514, 4.484
0.036096069, 4.483906798
0.036492736, 4.48377518
0.036823292, 4.483100281
0.037153847, 4.483
0.037484403, 4.483
0.037881069, 4.483
0.038211625, 4.483
0.038608292, 4.482942781
0.038938847, 4.482833099
0.039335514, 4.482701481
0.039666069, 4.482591799
0.040128847, 4.482
0.040525514, 4.482
0.040856069, 4.481994046
0.041186625, 4.481884364
0.041583292, 4.481752746
0.042046069, 4.481599191
0.042376625, 4.481
0.042707181, 4.481565217
0.043103847, 4.481
0.043434403, 4.481
0.043764958, 4.480898411
0.044161625, 4.480766792
0.044492181, 4.48065711
0.044954958, 4.480503556
0.045351625, 4.480371938
0.045682181, 4.479697038
0.046078847, 4.47956542
0.046409403, 4.479565217
0.046806069, 4.479565217
0.047136625, 4.479565217
0.047467181, 4.479565217
0.047863847, 4.479565217
0.048194403, 4.479565217
0.048591069, 4.479565217
0.048921625, 4.478926504
0.049318292, 4.478794886
0.049648847, 4.478685204
0.050045514, 4.478565217
0.050376069, 4.478565217
0.050772736, 4.478565217
0.051103292, 4.478565217
0.051499958, 4.478505768
0.051830514, 4.477830869
0.052227181, 4.47769925
0.052557736, 4.477589569
0.052954403, 4.477565217
0.053284958, 4.477565217
0.053681625, 4.477565217
0.054012181, 4.477
0.054408847, 4.477482591
0.054739333, 4.477372926
0.055069819, 4.476698042
0.055466486, 4.476566416
0.055797042, 4.476565217
0.056259819, 4.476565217
0.056656486, 4.476565217
0.056987042, 4.475931412
0.057449819, 4.476343065
0.057846486, 4.475646221
0.058177042, 4.475565217
0.058573708, 4.475565217
0.058904264, 4.475565217
0.059300931, 4.475525909
0.059631486, 4.47541622
0.060028153, 4.475284594
0.060358708, 4.474609687
0.060755375, 4.474565217
0.061152042, 4.474565217
0.061482597, 4.474565217
0.061879264, 4.47453484
0.062209819, 4.474403222
0.062606486, 4.47424528
0.062937042, 4.474130435
0.063333708, 4.473565217
0.063664194, 4.473565217
0.064060778, 4.473565217
0.064391333, 4.473565217
0.064788, 4.473565217
0.065184667, 4.473565217
0.065515222, 4.472927656
0.065911889, 4.472796038
0.066242444, 4.472686356
0.066705222, 4.472565217
0.067101889, 4.472565217
0.067432444, 4.472565217
0.067829111, 4.472565217
0.068225778, 4.472463047
0.068688556, 4.472309492
0.069019111, 4.471634593
0.069415778, 4.471565217
0.069746333, 4.471565217
0.070143, 4.471565217
0.070473556, 4.471514312
0.070870222, 4.471382694
0.071200778, 4.471273012
0.071531333, 4.470598113
0.071928, 4.470565217
0.072258556, 4.470565217
0.072655222, 4.470565217
0.072985778, 4.470477831
0.073382444, 4.470346213
0.073845222, 4.470192659
0.074175778, 4.469565217
0.074572444, 4.469565217
0.074969111, 4.469565217
0.075299667, 4.469565217
0.075696333, 4.469565217
0.076093, 4.469565217
0.076423556, 4.469496556
0.076820222, 4.469364929
0.077216806, 4.46923333
0.077547292, 4.468565217
0.077943958, 4.468565217
0.078274514, 4.468565217
0.078671181, 4.468565217
0.079067847, 4.468560307
0.079398403, 4.468428688
0.079795069, 4.468270747
0.080191736, 4.468130435
0.080522292, 4.467565217
0.080918958, 4.467565217
0.081249514, 4.467561839
0.081646181, 4.467430204
0.082042847, 4.467298569
0.082373403, 4.467188873
0.082770069, 4.467130435
0.083166736, 4.466565217
0.083497292, 4.466565217
0.083893958, 4.466553867
0.084290625, 4.466422248
0.084621181, 4.466312566
0.085150069, 4.466137076
0.085480625, 4.465565217
